file,function,lineno,args,body_length,has_return,has_docstring
repos\requests\src\requests\sessions.py,prepare_request,457,2,9,True,True
repos\requests\src\requests\sessions.py,request,500,17,9,True,True
repos\requests\src\requests\sessions.py,get,593,2,3,True,True
repos\requests\src\requests\sessions.py,options,604,2,3,True,True
repos\requests\src\requests\sessions.py,head,615,2,3,True,True
repos\requests\src\requests\sessions.py,post,626,4,2,True,True
repos\requests\src\requests\sessions.py,put,639,3,2,True,True
repos\requests\src\requests\sessions.py,patch,651,3,2,True,True
repos\requests\src\requests\sessions.py,delete,663,2,2,True,True
repos\requests\src\requests\sessions.py,send,673,2,22,True,True
repos\requests\src\requests\sessions.py,merge_environment_settings,750,6,7,True,True
repos\requests\src\requests\sessions.py,get_adapter,781,2,3,True,True
repos\requests\src\requests\sessions.py,close,794,1,2,False,True
repos\requests\src\requests\sessions.py,mount,799,3,4,False,True
repos\requests\src\requests\sessions.py,__getstate__,810,1,2,True,False
repos\requests\src\requests\sessions.py,__setstate__,814,2,1,False,False
repos\requests\src\requests\sessions.py,session,819,0,2,True,True
repos\requests\src\requests\status_codes.py,_init,109,0,4,True,False
repos\requests\src\requests\status_codes.py,doc,116,1,2,True,False
repos\requests\src\requests\structures.py,__init__,40,2,3,False,False
repos\requests\src\requests\structures.py,__setitem__,46,3,1,False,False
repos\requests\src\requests\structures.py,__getitem__,51,2,1,True,False
repos\requests\src\requests\structures.py,__delitem__,54,2,1,False,False
repos\requests\src\requests\structures.py,__iter__,57,1,1,True,False
repos\requests\src\requests\structures.py,__len__,60,1,1,True,False
repos\requests\src\requests\structures.py,lower_items,63,1,2,True,True
repos\requests\src\requests\structures.py,__eq__,67,2,2,True,False
repos\requests\src\requests\structures.py,copy,76,1,1,True,False
repos\requests\src\requests\structures.py,__repr__,79,1,1,True,False
repos\requests\src\requests\structures.py,__init__,86,2,2,False,False
repos\requests\src\requests\structures.py,__repr__,90,1,1,True,False
repos\requests\src\requests\structures.py,__getitem__,93,2,1,True,False
repos\requests\src\requests\structures.py,get,98,3,1,True,False
repos\requests\src\requests\utils.py,proxy_bypass_registry,77,1,7,True,False
repos\requests\src\requests\utils.py,proxy_bypass,115,1,2,True,True
repos\requests\src\requests\utils.py,dict_to_sequence,127,1,3,True,True
repos\requests\src\requests\utils.py,super_len,136,1,7,True,False
repos\requests\src\requests\utils.py,get_netrc_auth,207,2,4,True,True
repos\requests\src\requests\utils.py,guess_filename,251,1,3,True,True
repos\requests\src\requests\utils.py,extract_zipped_paths,258,1,11,True,True
repos\requests\src\requests\utils.py,atomic_open,296,1,3,False,True
repos\requests\src\requests\utils.py,from_key_val_list,308,1,4,True,True
repos\requests\src\requests\utils.py,to_key_val_list,335,1,5,True,True
repos\requests\src\requests\utils.py,parse_list_header,365,1,4,True,True
repos\requests\src\requests\utils.py,parse_dict_header,397,1,4,True,True
repos\requests\src\requests\utils.py,unquote_header_value,432,2,3,True,True
repos\requests\src\requests\utils.py,dict_from_cookiejar,457,1,3,True,True
repos\requests\src\requests\utils.py,add_dict_to_cookiejar,468,2,2,True,True
repos\requests\src\requests\utils.py,get_encodings_from_content,479,1,6,True,True
repos\requests\src\requests\utils.py,_parse_content_type_header,504,1,7,True,True
repos\requests\src\requests\utils.py,get_encoding_from_headers,529,1,7,True,True
repos\requests\src\requests\utils.py,stream_decode_response_unicode,554,2,6,True,True
repos\requests\src\requests\utils.py,iter_slices,571,2,4,False,True
repos\requests\src\requests\utils.py,get_unicode_from_response,581,1,6,True,True
repos\requests\src\requests\utils.py,unquote_unreserved,626,1,4,True,True
repos\requests\src\requests\utils.py,requote_uri,650,1,4,True,True
repos\requests\src\requests\utils.py,address_in_network,672,2,6,True,True
repos\requests\src\requests\utils.py,dotted_netmask,687,1,3,True,True
repos\requests\src\requests\utils.py,is_ipv4_address,698,1,3,True,True
repos\requests\src\requests\utils.py,is_valid_cidr,709,1,3,True,True
repos\requests\src\requests\utils.py,set_environ,734,2,4,False,True
repos\requests\src\requests\utils.py,should_bypass_proxies,755,2,10,True,True
repos\requests\src\requests\utils.py,get_proxy,764,1,1,True,False
repos\requests\src\requests\utils.py,get_environ_proxies,816,2,2,True,True
repos\requests\src\requests\utils.py,select_proxy,828,2,8,True,True
repos\requests\src\requests\utils.py,resolve_proxies,854,3,8,True,True
repos\requests\src\requests\utils.py,default_user_agent,881,1,2,True,True
repos\requests\src\requests\utils.py,default_headers,890,0,2,True,True
repos\requests\src\requests\utils.py,parse_header_links,904,1,7,True,True
repos\requests\src\requests\utils.py,guess_json_utf,947,1,10,True,True
repos\requests\src\requests\utils.py,prepend_scheme_if_needed,979,2,9,True,True
repos\requests\src\requests\utils.py,get_auth_from_url,1008,1,4,True,True
repos\requests\src\requests\utils.py,check_header_validity,1024,1,4,False,True
repos\requests\src\requests\utils.py,_validate_header_part,1035,3,2,False,False
repos\requests\src\requests\utils.py,urldefragauth,1054,1,5,True,True
repos\requests\src\requests\utils.py,rewind_body,1071,1,3,False,True
repos\requests\src\requests\_internal_utils.py,to_native_string,25,2,3,True,True
repos\requests\src\requests\_internal_utils.py,unicode_is_ascii,38,1,3,True,True
repos\requests\src\requests\__init__.py,check_compatibility,58,3,8,False,False
repos\requests\src\requests\__init__.py,_check_cryptography,93,1,2,True,False
repos\requests\tests\compat.py,u,14,1,2,True,False
repos\requests\tests\conftest.py,prepare_url,15,1,3,True,False
repos\requests\tests\conftest.py,inner,19,0,1,True,False
repos\requests\tests\conftest.py,httpbin,26,1,1,True,False
repos\requests\tests\conftest.py,httpbin_secure,31,1,1,True,False
repos\requests\tests\conftest.py,nosan_server,36,1,15,False,False
repos\requests\tests\test_adapters.py,test_request_url_trims_leading_path_separators,4,0,4,False,True
repos\requests\tests\test_help.py,test_system_ssl,6,0,2,False,True
repos\requests\tests\test_help.py,__init__,12,2,1,False,False
repos\requests\tests\test_help.py,test_idna_without_version_attribute,16,0,2,False,True
repos\requests\tests\test_help.py,test_idna_with_version_attribute,24,0,2,False,True
repos\requests\tests\test_hooks.py,hook,6,1,1,True,False
repos\requests\tests\test_hooks.py,test_hooks,17,2,1,False,False
repos\requests\tests\test_hooks.py,test_default_hooks,21,0,1,False,False
repos\requests\tests\test_lowlevel.py,echo_response_handler,12,1,4,False,True
repos\requests\tests\test_lowlevel.py,test_chunked_upload,24,0,7,False,True
repos\requests\tests\test_lowlevel.py,test_chunked_encoding_error,39,0,5,True,True
repos\requests\tests\test_lowlevel.py,incomplete_chunked_response_handler,42,1,3,True,False
repos\requests\tests\test_lowlevel.py,test_chunked_upload_uses_only_specified_host_header,63,0,9,False,True
repos\requests\tests\test_lowlevel.py,test_chunked_upload_doesnt_skip_host_header,81,0,8,False,True
repos\requests\tests\test_lowlevel.py,test_conflicting_content_lengths,99,0,5,True,True
repos\requests\tests\test_lowlevel.py,multiple_content_length_response_handler,104,1,4,True,False
repos\requests\tests\test_lowlevel.py,test_digestauth_401_count_reset_on_redirect,127,0,10,True,True
repos\requests\tests\test_lowlevel.py,digest_response_handler,152,1,13,True,False
repos\requests\tests\test_lowlevel.py,test_digestauth_401_only_sent_once,192,0,8,True,True
repos\requests\tests\test_lowlevel.py,digest_failed_response_handler,208,1,9,True,False
repos\requests\tests\test_lowlevel.py,test_digestauth_only_on_4xx,238,0,7,True,True
repos\requests\tests\test_lowlevel.py,digest_response_handler,251,1,6,True,False
repos\requests\tests\test_lowlevel.py,test_use_proxy_from_environment,290,3,3,False,False
